#SampleID	Description	country	Env	SourceSink
846.Fagna24102011Soil12A3	Soil from maize field tilled by ripper subsoiling (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil12A4	Soil from maize field tilled by ripper subsoiling (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil12B1	Soil from maize field tilled by ripper subsoiling (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil12B2	Soil from maize field tilled by ripper subsoiling (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil12B3	Soil from maize field tilled by ripper subsoiling (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil12B4	Soil from maize field tilled by ripper subsoiling (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil12C1	Soil from maize field tilled by ripper subsoiling (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil12C2	Soil from maize field tilled by ripper subsoiling (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil12C3	Soil from maize field tilled by ripper subsoiling (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil12C4	Soil from maize field tilled by ripper subsoiling (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil14A1	Soil from maize field tilled by conventional deep ploughing (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil14A2	Soil from maize field tilled by conventional deep ploughing (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil14A3	Soil from maize field tilled by conventional deep ploughing (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil14A4	Soil from maize field tilled by conventional deep ploughing (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil14B1	Soil from maize field tilled by conventional deep ploughing (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil14B2	Soil from maize field tilled by conventional deep ploughing (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil14B3	Soil from maize field tilled by conventional deep ploughing (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil14B4	Soil from maize field tilled by conventional deep ploughing (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil14C1	Soil from maize field tilled by conventional deep ploughing (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil14C2	Soil from maize field tilled by conventional deep ploughing (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil14C3	Soil from maize field tilled by conventional deep ploughing (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil14C4	Soil from maize field tilled by conventional deep ploughing (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil15A1	Soil from maize field tilled by mouldboard ploughing (max depth 20cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil15A2	Soil from maize field tilled by mouldboard ploughing (max depth 20cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil15A3	Soil from maize field tilled by mouldboard ploughing (max depth 20cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil15A4	Soil from maize field tilled by mouldboard ploughing (max depth 20cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil15B1	Soil from maize field tilled by mouldboard ploughing (max depth 20cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil15B2	Soil from maize field tilled by mouldboard ploughing (max depth 20cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil15B3	Soil from maize field tilled by mouldboard ploughing (max depth 20cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil15B4	Soil from maize field tilled by mouldboard ploughing (max depth 20cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil15C1	Soil from maize field tilled by mouldboard ploughing (max depth 20cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil15C2	Soil from maize field tilled by mouldboard ploughing (max depth 20cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil15C3	Soil from maize field tilled by mouldboard ploughing (max depth 20cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil15C4	Soil from maize field tilled by mouldboard ploughing (max depth 20cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil4A1	Soil from maize field tilled by harrowing with a disk (minimum tillage)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil4A2	Soil from maize field tilled by harrowing with a disk (minimum tillage)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil4A3	Soil from maize field tilled by harrowing with a disk (minimum tillage)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil4A4	Soil from maize field tilled by harrowing with a disk (minimum tillage)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil4B1	Soil from maize field tilled by harrowing with a disk (minimum tillage)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil4B2	Soil from maize field tilled by harrowing with a disk (minimum tillage)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil4B3	Soil from maize field tilled by harrowing with a disk (minimum tillage)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil4B4	Soil from maize field tilled by harrowing with a disk (minimum tillage)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil4C1	Soil from maize field tilled by harrowing with a disk (minimum tillage)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil4C2	Soil from maize field tilled by harrowing with a disk (minimum tillage)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil4C3	Soil from maize field tilled by harrowing with a disk (minimum tillage)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil4C4	Soil from maize field tilled by harrowing with a disk (minimum tillage)	GAZ:Italy	agricultural soil	source
864.1.CON.addV.addG.noW.A.lane2.NoIndex	block one-control,vegetation, grazing, n watering (warming nt taken b/c too early in the season) 1.CON.addV.addG.noW.A	GAZ:Mongolia	steppe soil	source
864.1.CON.addV.addG.noW.B.lane2.NoIndex	block one-control,vegetation, grazing, n watering 1.CON.addV.addG.noW.B	GAZ:Mongolia	steppe soil	source
864.1.CON.addV.noG.noW.A.lane2.NoIndex	block one-control,vegetation, n grazing, n watering (warming nt taken b/c too early in the season) 1.CON.addV.noG.noW.A	GAZ:Mongolia	steppe soil	source
864.1.CON.addV.noG.noW.B.lane2.NoIndex	block one-control,vegetation, n grazing, n watering 1.CON.addV.noG.noW.B	GAZ:Mongolia	steppe soil	source
864.1.OTC.addV.addG.noW.lane2.NoIndex	block one-warming,vegetation, grazing, n watering 1.OTC.addV.addG.noW	GAZ:Mongolia	steppe soil	source
864.1.OTC.addV.noG.noW.lane2.NoIndex	block one-warming,vegetation, n grazing, n watering 1.OTC.addV.noG.noW	GAZ:Mongolia	steppe soil	source
864.10.CON.addV.noG.addW.lane2.NoIndex	block ten-control,vegetation, n grazing, watering 10.CON.addV.noG.addW	GAZ:Mongolia	steppe soil	source
864.10.CON.addV.noG.noW.lane2.NoIndex	block ten-control,vegetation, n grazing, n watering 10.CON.addV.noG.noW	GAZ:Mongolia	steppe soil	source
864.10.CON.addV.noW.lane2.NoIndex	block ten-control,vegetation, n grazing, n watering (warming nt taken b/c too early in the season) 10.CON.addV.noW	GAZ:Mongolia	steppe soil	source
864.10.CON.addV.noW.Fes.lane2.NoIndex	block ten-taken under FESTUCA-control,vegetation, n grazing, n watering (warming nt taken b/c too early in the season) 10.CON.addV.noW.Fes	GAZ:Mongolia	steppe soil	source
864.10.CON.addV.noW.Leg.lane2.NoIndex	block ten-taken under a LEGUME-control,vegetation, n grazing, n watering (warming nt taken b/c too early in the season) 10.CON.addV.noW.Leg	GAZ:Mongolia	steppe soil	source
864.LFSF3.OTC.lane2.NoIndex	lower south facing slope, third transect-warming LFSF3.OTC	GAZ:Mongolia	steppe soil	source
864.10.CON.addV.noW.Pot.lane2.NoIndex	block ten-taken under POTENTILLA-control,vegetation, n grazing, n watering (warming nt taken b/c too early in the season) 10.CON.addV.noW.Pot	GAZ:Mongolia	steppe soil	source
864.10.OTC.addV.noG.addW.lane2.NoIndex	block ten-warming,vegetation, n grazing, watering 10.OTC.addV.noG.addW	GAZ:Mongolia	steppe soil	source
864.10.OTC.addV.noG.noW.lane2.NoIndex	block ten-warming,vegetation, n grazing, n watering 10.OTC.addV.noG.noW	GAZ:Mongolia	steppe soil	source
864.11.CON.addV.noG.addW.lane2.NoIndex	block eleven-control,vegetation, n grazing, watering 11.CON.addV.noG.addW	GAZ:Mongolia	steppe soil	source
864.11.CON.addV.noG.noW.lane2.NoIndex	block eleven-control,vegetation, n grazing, n watering 11.CON.addV.noG.noW	GAZ:Mongolia	steppe soil	source
864.11.CON.addV.noW.lane2.NoIndex	block eleven-control,vegetation, n grazing, n watering (warming nt taken b/c too early in the season) 11.CON.addV.noW	GAZ:Mongolia	steppe soil	source
864.11.OTC.addV.noG.addW.lane2.NoIndex	block eleven-warming,vegetation, n grazing, watering 11.OTC.addV.noG.addW	GAZ:Mongolia	steppe soil	source
864.11.OTC.addV.noG.noW.lane2.NoIndex	block eleven-warming,vegetation, n grazing, n watering 11.OTC.addV.noG.noW	GAZ:Mongolia	steppe soil	source
864.12.C.addH.addV.2010a.lane2.NoIndex	block twelve-control, watering, vegetation 12.C.addH.addV.2010a	GAZ:Mongolia	steppe soil	source
864.12.C.addH.noV.2010b.lane2.NoIndex	block twelve-control, watering, n vegetation 12.C.addH.noV.2010b	GAZ:Mongolia	steppe soil	source
